Country_Name,Year,Gini_Index_(Official),Palma_Ratio,20/20_Income_Gap_Ratio,Income_Share:_Bottom_40%,Income_Share:_Poorest_20%,Income_Share:_Second_Quintile,Income_Share:_Middle_Quintile,Income_Share:_Fourth_Quintile,Income_Share:_Richest_20%,Income_Classification,World_Bank_Region,Total_Population,Inequality_Index_(UNDP),Gini_Index_(World Bank),Local_Currency,World_Bank_Lending_Group,Last_Census_Year,Inequality_Category
China,1968,30.9,2.05,5.31,20,7.8,12.2,16.3,22.3,41.4,Upper middle income,East Asia and the Pacific,782008729,28.27,37.53,Chinese yuan,IBRD,2020,Medium Inequality
China,1970,27.9,2.05,4.61,21.7,8.4,13.3,17.1,22.5,38.7,Upper middle income,East Asia and the Pacific,824788457,28.27,37.53,Chinese yuan,IBRD,2020,Medium Inequality
China,1972,27.7,2.05,4.49,21.8,8.6,13.2,17.1,22.5,38.6,Upper middle income,East Asia and the Pacific,865686530,28.27,37.53,Chinese yuan,IBRD,2020,Medium Inequality
China,1975,26.6,2.05,4.26,22.6,8.9,13.7,17.2,22.3,37.9,Upper middle income,East Asia and the Pacific,920945083,28.27,37.53,Chinese yuan,IBRD,2020,Medium Inequality
China,1985,33,2.05,5.29,19.4,7.7,11.7,16.5,23.4,40.7,Upper middle income,East Asia and the Pacific,1070863389,28.27,37.53,Chinese yuan,IBRD,2020,Medium Inequality
China,1988,38.1,2.05,7.59,21.38,5.79,11.16,15.48,21.77,43.98,Upper middle income,East Asia and the Pacific,1137724288,28.27,37.53,Chinese yuan,IBRD,2020,Medium Inequality
China,2006,37,2.05,5.44,20.21,7.26,12.95,17.29,22.99,39.51,Upper middle income,East Asia and the Pacific,1329209094,28.27,37.53,Chinese yuan,IBRD,2020,Medium Inequality
China,2007,37,2.05,5.49,20.19,7.19,13,17.4,22.91,39.49,Upper middle income,East Asia and the Pacific,1336800506,28.27,37.53,Chinese yuan,IBRD,2020,Medium Inequality
China,2009,39,2.05,5.9,19.56,6.72,12.84,17.51,23.24,39.68,Upper middle income,East Asia and the Pacific,1352068091,28.27,37.53,Chinese yuan,IBRD,2020,Medium Inequality
Indonesia,1976,34.6,2.05,5.31,19.56,8,11.56,16.01,21.95,42.48,Lower middle income,East Asia and the Pacific,134010690,13.94,37.53,Indonesian rupiah,IBRD,2020,Low Inequality
Indonesia,1978,38.6,2.05,5.65,18.13,8.03,10.1,14.76,21.77,45.34,Lower middle income,East Asia and the Pacific,140665856,13.94,37.53,Indonesian rupiah,IBRD,2020,Low Inequality
Indonesia,1980,35.6,2.05,5.8,19.55,7.29,12.26,15.95,22.23,42.27,Lower middle income,East Asia and the Pacific,147490365,13.94,37.53,Indonesian rupiah,IBRD,2020,Low Inequality
Indonesia,1981,33.7,2.05,5.45,20.44,7.72,12.72,15.62,21.84,42.1,Lower middle income,East Asia and the Pacific,150978840,13.94,37.53,Indonesian rupiah,IBRD,2020,Low Inequality
Japan,1954,31,2.05,8.34,20.1,5.3,11.16,15.48,21.77,44.2,High income,East Asia and the Pacific,87980318,20.49,37.53,Japanese yen,IBRD,2020,Medium Inequality
Japan,1963,35.7,2.05,7.1,17.88,6.05,11.83,16.19,23,42.93,High income,East Asia and the Pacific,96389953,20.49,37.53,Japanese yen,IBRD,2020,Medium Inequality
Japan,1964,35.8,2.05,6.3,18.56,6.84,11.72,15.94,22.4,43.1,High income,East Asia and the Pacific,97379848,20.49,37.53,Japanese yen,IBRD,2020,Medium Inequality
Japan,1967,35.1,2.05,6.78,18.09,6.25,11.84,16.65,22.86,42.4,High income,East Asia and the Pacific,100820021,20.49,37.53,Japanese yen,IBRD,2020,Medium Inequality
Japan,1969,35.7,2.05,7.24,17.77,6.07,11.7,16.15,22.11,43.97,High income,East Asia and the Pacific,103491930,20.49,37.53,Japanese yen,IBRD,2020,Medium Inequality
Japan,1970,35.5,2.05,10.2,14.97,4.55,10.42,15.42,23.22,46.39,High income,East Asia and the Pacific,104925645,20.49,37.53,Japanese yen,IBRD,2020,Medium Inequality
Japan,1972,33.4,2.05,6.5,18.33,6.52,11.81,16.63,22.65,42.39,High income,East Asia and the Pacific,107977039,20.49,37.53,Japanese yen,IBRD,2020,Medium Inequality
Japan,1973,32.5,2.05,6.7,18.38,6.26,12.12,16.78,22.88,41.96,High income,East Asia and the Pacific,109532878,20.49,37.53,Japanese yen,IBRD,2020,Medium Inequality
Japan,1974,33.6,2.05,6.87,18.4,6.07,12.33,17.08,22.83,41.69,High income,East Asia and the Pacific,111030141,20.49,37.53,Japanese yen,IBRD,2020,Medium Inequality
Japan,1975,34.4,2.05,7.25,17.59,5.97,11.62,16.53,22.57,43.31,High income,East Asia and the Pacific,112423055,20.49,37.53,Japanese yen,IBRD,2020,Medium Inequality
Japan,1976,33.9,2.05,6.64,18.19,6.43,11.76,16.58,22.55,42.68,High income,East Asia and the Pacific,113690108,20.49,37.53,Japanese yen,IBRD,2020,Medium Inequality
Japan,1977,33.7,2.05,6.83,18.08,6.34,11.74,16.32,22.3,43.3,High income,East Asia and the Pacific,114839120,20.49,37.53,Japanese yen,IBRD,2020,Medium Inequality
Japan,1978,32.9,2.05,6.27,18.77,6.63,12.14,16.73,22.92,41.58,High income,East Asia and the Pacific,115890284,20.49,37.53,Japanese yen,IBRD,2020,Medium Inequality
Japan,1979,33.9,2.05,7.17,17.87,5.9,11.97,16.77,23.06,42.3,High income,East Asia and the Pacific,116878026,20.49,37.53,Japanese yen,IBRD,2020,Medium Inequality
Japan,1980,33.4,2.05,6.32,18.69,6.26,12.43,17.33,24.41,39.57,High income,East Asia and the Pacific,117827355,20.49,37.53,Japanese yen,IBRD,2020,Medium Inequality
Japan,1981,34.3,2.05,6.46,18.64,6.28,12.36,17.1,23.66,40.6,High income,East Asia and the Pacific,118743180,20.49,37.53,Japanese yen,IBRD,2020,Medium Inequality
